time: 2017-09-27 21:25:54, latitude: 40.4319, longitude: -86.9261, velocity: 0.082311 m/s

time: 2017-09-27 22:14:06, latitude: 40.4319, longitude: -86.9261, velocity: 0.252078 m/s

time: 2017-09-27 22:14:11, latitude: 40.4319, longitude: -86.9261, velocity: 0.216066 m/s

time: 2017-09-27 22:14:16, latitude: 40.4319, longitude: -86.9261, velocity: 0.200633 m/s

time: 2017-09-27 22:14:21, latitude: 40.4319, longitude: -86.9261, velocity: 0.133755 m/s

time: 2017-09-27 22:14:26, latitude: 40.4319, longitude: -86.9261, velocity: 0.149189 m/s

time: 2017-09-27 22:14:31, latitude: 40.4319, longitude: -86.9261, velocity: 0.1389 m/s

time: 2017-09-27 22:14:36, latitude: 40.4319, longitude: -86.9261, velocity: 0.144044 m/s

time: 2017-09-27 22:14:41, latitude: 40.4319, longitude: -86.9261, velocity: 0.133755 m/s

time: 2017-09-27 22:14:47, latitude: 40.4319, longitude: -86.9261, velocity: 0.133755 m/s

time: 2017-09-27 22:14:52, latitude: 40.4319, longitude: -86.9261, velocity: 0.169767 m/s

time: 2017-09-27 22:14:57, latitude: 40.4319, longitude: -86.9261, velocity: 0.133755 m/s

time: 2017-09-27 22:15:02, latitude: 40.432, longitude: -86.9261, velocity: 0.154333 m/s

time: 2017-09-27 22:15:07, latitude: 40.432, longitude: -86.9261, velocity: 0.174911 m/s

time: 2017-09-27 22:15:12, latitude: 40.432, longitude: -86.9261, velocity: 0.236644 m/s

time: 2017-09-27 22:15:17, latitude: 40.432, longitude: -86.9261, velocity: 0.221211 m/s

time: 2017-09-27 22:15:22, latitude: 40.432, longitude: -86.9261, velocity: 0.2315 m/s

time: 2017-09-27 22:15:27, latitude: 40.432, longitude: -86.9261, velocity: 0.252078 m/s

time: 2017-09-27 22:15:32, latitude: 40.432, longitude: -86.9261, velocity: 0.210922 m/s

time: 2017-09-27 22:15:37, latitude: 40.432, longitude: -86.9261, velocity: 0.2315 m/s

time: 2017-09-27 22:15:42, latitude: 40.432, longitude: -86.9261, velocity: 0.272655 m/s

time: 2017-09-27 22:15:47, latitude: 40.432, longitude: -86.9261, velocity: 0.298378 m/s

time: 2017-09-27 22:15:52, latitude: 40.432, longitude: -86.9261, velocity: 0.308666 m/s

time: 2017-09-27 22:15:57, latitude: 40.432, longitude: -86.9261, velocity: 0.288089 m/s

time: 2017-09-27 22:16:02, latitude: 40.432, longitude: -86.9261, velocity: 0.298378 m/s

time: 2017-09-27 22:16:07, latitude: 40.432, longitude: -86.9261, velocity: 0.282944 m/s

time: 2017-09-27 22:16:12, latitude: 40.432, longitude: -86.9261, velocity: 0.267511 m/s

time: 2017-09-27 22:16:17, latitude: 40.432, longitude: -86.9261, velocity: 0.257222 m/s

time: 2017-09-27 22:16:22, latitude: 40.432, longitude: -86.9261, velocity: 0.282944 m/s

time: 2017-09-27 22:16:27, latitude: 40.432, longitude: -86.9261, velocity: 0.216066 m/s

time: 2017-09-27 22:16:33, latitude: 40.432, longitude: -86.9261, velocity: 0.159478 m/s

time: 2017-09-27 22:16:38, latitude: 40.432, longitude: -86.9261, velocity: 0.149189 m/s

time: 2017-09-27 22:16:43, latitude: 40.432, longitude: -86.9261, velocity: 0.169767 m/s

time: 2017-09-27 22:16:48, latitude: 40.432, longitude: -86.9261, velocity: 0.190344 m/s

time: 2017-09-27 22:16:53, latitude: 40.432, longitude: -86.9261, velocity: 0.1852 m/s

time: 2017-09-27 22:16:58, latitude: 40.432, longitude: -86.9261, velocity: 0.236644 m/s

time: 2017-09-27 22:17:03, latitude: 40.432, longitude: -86.9261, velocity: 0.205778 m/s

time: 2017-09-27 22:17:08, latitude: 40.432, longitude: -86.9261, velocity: 0.169767 m/s

time: 2017-09-27 22:17:13, latitude: 40.432, longitude: -86.9261, velocity: 0.164622 m/s

time: 2017-09-27 22:17:18, latitude: 40.432, longitude: -86.9261, velocity: 0.128611 m/s

time: 2017-09-27 22:17:23, latitude: 40.432, longitude: -86.9261, velocity: 0.123467 m/s

time: 2017-09-27 22:17:28, latitude: 40.432, longitude: -86.9261, velocity: 0.0874555 m/s

time: 2017-09-27 22:17:33, latitude: 40.432, longitude: -86.9261, velocity: 0.0411555 m/s

time: 2017-09-27 22:17:38, latitude: 40.432, longitude: -86.9261, velocity: 0.0360111 m/s

time: 2017-09-27 22:17:43, latitude: 40.432, longitude: -86.9261, velocity: 0.082311 m/s

time: 2017-09-27 22:17:48, latitude: 40.432, longitude: -86.9261, velocity: 0.0874555 m/s

time: 2017-09-27 22:17:53, latitude: 40.432, longitude: -86.9261, velocity: 0.0771666 m/s

time: 2017-09-27 22:17:58, latitude: 40.432, longitude: -86.9261, velocity: 0.108033 m/s

time: 2017-09-27 22:18:03, latitude: 40.432, longitude: -86.9261, velocity: 0.0617333 m/s

time: 2017-09-27 22:18:08, latitude: 40.432, longitude: -86.9261, velocity: 0.102889 m/s

time: 2017-09-27 22:18:13, latitude: 40.432, longitude: -86.9261, velocity: 0.0977444 m/s

time: 2017-09-27 22:18:18, latitude: 40.432, longitude: -86.9261, velocity: 0.082311 m/s

time: 2017-09-27 22:18:23, latitude: 40.432, longitude: -86.9261, velocity: 0.0308666 m/s

time: 2017-09-27 22:18:29, latitude: 40.432, longitude: -86.9261, velocity: 0.0617333 m/s

time: 2017-09-27 22:18:34, latitude: 40.432, longitude: -86.9261, velocity: 0.0463 m/s

time: 2017-09-27 22:18:39, latitude: 40.432, longitude: -86.9261, velocity: 0.0257222 m/s

time: 2017-09-27 22:18:44, latitude: 40.432, longitude: -86.9261, velocity: 0.0205778 m/s

time: 2017-09-27 22:18:49, latitude: 40.432, longitude: -86.9261, velocity: 0.0463 m/s

time: 2017-09-27 22:18:54, latitude: 40.432, longitude: -86.9261, velocity: 0.0977444 m/s

time: 2017-09-27 22:18:59, latitude: 40.432, longitude: -86.9261, velocity: 0.113178 m/s

time: 2017-09-27 22:19:04, latitude: 40.432, longitude: -86.9261, velocity: 0.0925999 m/s

time: 2017-09-27 22:19:09, latitude: 40.432, longitude: -86.9261, velocity: 0.0668777 m/s

time: 2017-09-27 22:19:14, latitude: 40.432, longitude: -86.9261, velocity: 0.0874555 m/s

time: 2017-09-27 22:19:19, latitude: 40.432, longitude: -86.9261, velocity: 0.0360111 m/s

time: 2017-09-27 22:19:24, latitude: 40.432, longitude: -86.9261, velocity: 0.0205778 m/s

time: 2017-09-27 22:19:29, latitude: 40.432, longitude: -86.9261, velocity: 0.0360111 m/s

time: 2017-09-27 22:19:34, latitude: 40.432, longitude: -86.9261, velocity: 0.0668777 m/s

time: 2017-09-27 22:19:39, latitude: 40.432, longitude: -86.9261, velocity: 0.082311 m/s

time: 2017-09-27 22:19:44, latitude: 40.432, longitude: -86.9261, velocity: 0.0925999 m/s

time: 2017-09-27 22:19:49, latitude: 40.432, longitude: -86.9261, velocity: 0.123467 m/s

time: 2017-09-27 22:19:54, latitude: 40.432, longitude: -86.9261, velocity: 0.159478 m/s

